DATE,G17MVSFTTRUCKS
1996-01-01,99.23
1996-02-01,105.93
1996-03-01,109.04
1996-04-01,106.96
1996-05-01,113.06
1996-06-01,102.29
1996-07-01,60.55
1996-08-01,102.41
1996-09-01,100.87
1996-10-01,119.65
1996-11-01,97.55
1996-12-01,78.52
1997-01-01,99.08
1997-02-01,101.12
1997-03-01,98.66
1997-04-01,117.22
1997-05-01,110.92
1997-06-01,101.86
1997-07-01,65.81
1997-08-01,98.57
1997-09-01,106.16
1997-10-01,119.23
1997-11-01,93.05
1997-12-01,89.3
1998-01-01,89.49
1998-02-01,101.05
1998-03-01,114.17
1998-04-01,106.3
1998-05-01,105.18
1998-06-01,101.52
1998-07-01,68.79
1998-08-01,99.12
1998-09-01,106.49
1998-10-01,113.44
1998-11-01,93.51
1998-12-01,89.5
1999-01-01,89.41
1999-02-01,100.99
1999-03-01,119.28
1999-04-01,106.01
1999-05-01,104.95
1999-06-01,107.98
1999-07-01,61.14
1999-08-01,105.44
1999-09-01,107.56
1999-10-01,107.97
1999-11-01,99.06
1999-12-01,89.53
2000-01-01,93.98
2000-02-01,106.01
2000-03-01,119.47
2000-04-01,94.87
2000-05-01,110.03
2000-06-01,110.68
2000-07-01,58.05
2000-08-01,109.84
2000-09-01,101.59
2000-10-01,113.3
2000-11-01,99.39
2000-12-01,84.08
2001-01-01,98.31
2001-02-01,100.81
2001-03-01,114.22
2001-04-01,99.74
2001-05-01,115.23
2001-06-01,105.36
2001-07-01,61.47
2001-08-01,110.71
2001-09-01,96.43
2001-10-01,118.52
2001-11-01,99.65
2001-12-01,78.68
2002-01-01,97.84
2002-02-01,100.69
2002-03-01,103.76
2002-04-01,109.79
2002-05-01,114.92
2002-06-01,100.36
2002-07-01,65.18
2002-08-01,104.23
2002-09-01,101.6
2002-10-01,118.18
2002-11-01,89.33
2002-12-01,78.62
2003-01-01,97.32
2003-02-01,100.61
2003-03-01,108.79
2003-04-01,104.33
2003-05-01,109.29
2003-06-01,102.06
2003-07-01,66.33
2003-08-01,101.98
2003-09-01,106.79
2003-10-01,117.45
2003-11-01,91.03
2003-12-01,89.33
2004-01-01,89.04
2004-02-01,100.72
2004-03-01,119.18
2004-04-01,105.4
2004-05-01,101.74
2004-06-01,110.81
2004-07-01,64.66
2004-08-01,106.72
2004-09-01,107.13
2004-10-01,106.44
2004-11-01,98.09
2004-12-01,89.38
2005-01-01,93.54
2005-02-01,100.85
2005-03-01,110.44
2005-04-01,108.2
2005-05-01,106.28
2005-06-01,110.99
2005-07-01,63.05
2005-08-01,111.2
2005-09-01,106.79
2005-10-01,106.1
2005-11-01,94.34
2005-12-01,89.08
2006-01-01,93.53
2006-02-01,101.18
2006-03-01,119.56
2006-04-01,93.53
2006-05-01,112.4
2006-06-01,110.87
2006-07-01,64.17
2006-08-01,111.02
2006-09-01,102.68
2006-10-01,111.1
2006-11-01,97.67
2006-12-01,83.45
2007-01-01,98.4
2007-02-01,101.47
2007-03-01,114.56
2007-04-01,97.91
2007-05-01,111.79
2007-06-01,105.79
2007-07-01,69.49
2007-08-01,110.94
2007-09-01,97.37
2007-10-01,116.46
2007-11-01,101.33
2007-12-01,78.01
2008-01-01,98.67
2008-02-01,106.76
2008-03-01,101.12
2008-04-01,111.04
2008-05-01,104.64
2008-06-01,105.69
2008-07-01,74.42
2008-08-01,100.62
2008-09-01,107.37
2008-10-01,116.37
2008-11-01,87.5
2008-12-01,88.37
2009-01-01,89.52
2009-02-01,101.48
2009-03-01,114.91
2009-04-01,103.49
2009-05-01,99.24
2009-06-01,110.52
2009-07-01,76.21
2009-08-01,101.32
2009-09-01,106.14
2009-10-01,110.68
2009-11-01,96.28
2009-12-01,88.54
2010-01-01,89.67
2010-02-01,101.16
2010-03-01,120.19
2010-04-01,105.27
2010-05-01,100.41
2010-06-01,109.91
2010-07-01,74.64
2010-08-01,105.94
2010-09-01,106.59
2010-10-01,105.23
2010-11-01,98.31
2010-12-01,88.38
2011-01-01,94.79
2011-02-01,100.9
2011-03-01,120.2
2011-04-01,100.01
2011-05-01,105.24
2011-06-01,109.12
2011-07-01,72.9
2011-08-01,110.51
2011-09-01,106.19
2011-10-01,105.15
2011-11-01,98.2
2011-12-01,88.24
2012-01-01,95.34
2012-02-01,105.77
2012-03-01,114.83
2012-04-01,99.9
2012-05-01,109.92
2012-06-01,103.55
2012-07-01,78.09
2012-08-01,110.39
2012-09-01,95.89
2012-10-01,115.49
2012-11-01,97.81
2012-12-01,77.58
2013-01-01,100.53
2013-02-01,100.64
2013-03-01,104.22
2013-04-01,109.95
2013-05-01,109.48
2013-06-01,98.28
2013-07-01,83.11
2013-08-01,105.65
2013-09-01,100.52
2013-10-01,115.91
2013-11-01,95.41
2013-12-01,77.53
2014-01-01,100.36
2014-02-01,100.61
2014-03-01,109.74
2014-04-01,105.56
2014-05-01,103.63
2014-06-01,102.89
2014-07-01,83.31
2014-08-01,101.42
2014-09-01,105.58
2014-10-01,115.82
2014-11-01,86.76
2014-12-01,88.22
2015-01-01,90.61
2015-02-01,100.58
2015-03-01,114.98
2015-04-01,106.16
2015-05-01,98.06
2015-06-01,107.65
2015-07-01,83.58
2015-08-01,101.72
2015-09-01,105.44
2015-10-01,110.59
2015-11-01,95.21
2015-12-01,88.79
2016-01-01,90.50
2016-02-01,106.80
2016-03-01,111.28
2016-04-01,105.09
2016-05-01,100.72
2016-06-01,106.86
2016-07-01,77.50
2016-08-01,112.22
2016-09-01,105.07
2016-10-01,105.04
2016-11-01,98.25
2016-12-01,89.15
2017-01-01,95.70
2017-02-01,102.53
2017-03-01,120.06
2017-04-01,90.57
2017-05-01,105.14
2017-06-01,105.81
2017-07-01,77.33
2017-08-01,111.65
2017-09-01,99.70
2017-10-01,109.97
2017-11-01,102.68
2017-12-01,84.81
2018-01-01,100.68
2018-02-01,103.18
2018-03-01,109.78
2018-04-01,99.51
2018-05-01,104.18
2018-06-01,100.11
2018-07-01,81.89
2018-08-01,111.62
2018-09-01,94.60
2018-10-01,115.10
2018-11-01,99.74
2018-12-01,79.79
2019-01-01,101.00
2019-02-01,103.98
2019-03-01,109.91
2019-04-01,98.65
2019-05-01,102.99
2019-06-01,94.79
2019-07-01,86.34
2019-08-01,106.82
